term	valence	arousal	dominance
a battery	0.134	-0.298	-0.096
a bit	-0.096	-0.264	-0.214
a bunch	0.088	-0.350	-0.068
a cappella	0.134	-0.116	-0.200
a couple	0.266	-0.110	0.090
a drive	0.134	0.136	0.060
a few	-0.138	-0.344	-0.160
a further	-0.214	-0.152	-0.122
a getaway	0.222	0.076	-0.032
a go	0.034	0.084	-0.034
a goner	-0.230	-0.148	-0.354
a good	0.666	-0.164	0.388
a handful	0.034	0.118	-0.100
a heel	0.000	-0.074	-0.130
a kickback	-0.600	0.064	-0.142
a little	0.072	-0.380	-0.358
a lot	0.100	-0.080	0.320
a mere	-0.310	-0.238	-0.066
a must	0.034	-0.276	0.134
a no-brainer	-0.270	0.044	-0.234
a one	0.172	-0.172	-0.032
a pair	0.200	-0.250	-0.188
a peach	0.370	-0.284	-0.138
a pleasure	0.452	-0.150	0.068
a plus	0.434	0.016	0.130
a priori	-0.138	-0.170	-0.038
a roll	0.138	-0.016	0.000
a sec	-0.310	-0.234	-0.366
a shame	-0.634	-0.088	-0.180
a single	-0.104	-0.126	-0.394
a smokescreen	-0.552	0.258	-0.404
a sport	0.380	0.302	0.142
a stretch	0.108	-0.034	0.228
a student	0.388	-0.188	0.064
a to-do	-0.104	0.050	-0.166
a ton	0.214	-0.090	0.108
a touch	0.172	-0.090	-0.036
a treat	0.536	-0.174	0.124
a while	0.034	-0.222	-0.060
abide by	-0.134	-0.076	-0.434
able bodied	0.138	-0.092	0.036
about face	-0.310	-0.134	0.034
about time	0.258	0.016	-0.062
about to	-0.130	-0.180	-0.242
above all	0.334	-0.060	0.206
above average	-0.032	0.068	0.382
above water	0.380	-0.048	0.034
absolutely not	-0.448	-0.080	-0.300
academic freedom	0.500	0.068	0.200
academic year	0.384	0.148	0.290
academy award	0.288	0.300	0.556
academy awards	0.656	0.328	0.500
access code	0.096	-0.104	0.464
according to	0.420	-0.278	0.112
account executive	0.200	0.242	0.400
account for	0.000	-0.016	0.000
account name	0.234	-0.204	-0.104
accounts receivable	0.268	-0.094	0.354
accused of	-0.420	0.154	-0.276
accustomed to	0.130	0.016	0.146
ache for	-0.032	0.188	-0.296
achieve success	1.000	0.118	0.750
achilles heel	-0.400	-0.178	-0.206
acid rain	-0.838	0.404	-0.334
acoustic guitar	0.134	0.124	0.134
acquired taste	-0.104	-0.136	-0.068
across from	-0.242	-0.150	-0.060
act as	0.178	-0.066	0.074
act for	-0.064	0.064	-0.040
act on	0.172	0.068	0.096
act out	-0.234	0.156	-0.088
act up	-0.036	0.186	-0.068
act upon	0.066	0.112	0.286
acting out	-0.634	0.226	-0.300
acting up	-0.036	0.334	0.034
action figure	0.186	0.405	0.163
action film	0.112	0.322	0.344
action movie	0.420	0.394	0.108
active duty	0.000	0.570	0.358
active list	0.032	0.304	0.290
ad agency	0.032	0.132	0.134
ad campaign	0.200	0.214	0.104
ad hoc	-0.104	-0.088	-0.138
ad hominem	-0.600	-0.074	-0.034
ad infinitum	0.000	0.196	0.104
ad libs	-0.064	0.036	-0.162
ad nauseam	-0.380	0.104	-0.034
add in	0.056	-0.208	0.162
add on	0.586	0.000	0.034
add to	0.000	0.178	0.062
add up	0.300	0.128	-0.134
addams family	0.258	0.078	0.124
added value	0.500	0.226	0.516
adhere to	0.000	0.028	-0.242
adjacent to	-0.266	-0.138	-0.068
administrative assistant	0.194	0.238	0.322
admit to	-0.100	-0.100	-0.172
adult life	0.130	0.064	0.234
adult male	-0.142	0.042	0.344
advance poll	0.352	-0.152	0.270
advent calendar	0.420	-0.054	0.250
adventure game	0.134	0.434	0.528
advisory board	0.242	-0.074	0.276
affiliate marketing	-0.094	0.422	0.194
affirmative action	0.266	0.286	0.108
afford to	0.138	-0.076	0.072
affordable housing	0.242	-0.124	0.100
african american	0.200	0.048	0.066
after all	0.086	-0.200	-0.186
after hours	-0.286	-0.034	0.028
after party	0.300	-0.094	-0.066
afternoon tea	0.322	-0.384	-0.142
age bracket	-0.178	-0.028	-0.218
age gap	-0.234	-0.016	-0.178
age group	-0.074	-0.112	-0.242
age limit	-0.040	-0.226	-0.194
age range	-0.104	-0.028	0.100
agent orange	-0.518	0.112	-0.040
agree on	0.484	-0.064	0.488
agree to	0.406	-0.182	0.178
agree with	0.444	-0.030	0.148
agreed upon	0.466	-0.244	0.154
ahead of	-0.036	0.068	0.052
aim at	0.260	0.214	0.250
aim for	0.276	0.016	0.142
aim to	-0.036	-0.124	0.240
aimed at	0.034	0.192	0.268
air ball	-0.094	-0.208	-0.296
air conditioned	0.484	0.076	0.172
air conditioner	0.096	-0.034	0.116
air conditioning	0.276	-0.082	0.364
air drop	-0.234	0.084	-0.068
air duct	-0.310	-0.232	0.000
air filter	0.066	-0.188	-0.138
air flow	0.490	-0.130	0.000
air force	-0.130	0.338	0.380
air freshener	0.594	-0.298	0.322
air guitar	0.134	0.034	0.164
air horn	-0.242	0.016	0.222
air mattress	-0.104	-0.242	0.142
air miles	0.072	-0.180	0.034
air out	-0.104	0.000	-0.334
air pollution	-0.656	0.072	-0.032
air pressure	-0.160	0.062	0.090
air quality	-0.032	-0.082	0.036
air raid	-0.432	0.124	0.000
air show	0.286	0.196	0.000
air time	0.334	0.098	-0.034
air traffic	-0.434	0.388	0.000
air travel	-0.058	0.022	0.258
aircraft carrier	-0.026	0.431	0.294
airline industry	0.138	0.348	0.366
airport terminal	0.134	0.116	0.300
alarm clock	0.010	0.281	0.125
alcohol poisoning	-0.758	0.410	-0.432
alcoholic beverage	-0.072	0.230	-0.034
alive with	0.304	0.090	0.354
all aboard	0.162	0.030	0.138
all about	0.270	-0.166	-0.038
all along	-0.018	-0.044	0.000
all around	0.266	0.018	0.100
all better	0.612	-0.342	0.366
all blacks	0.034	0.266	-0.136
all but	-0.286	-0.064	-0.334
all caps	0.162	-0.064	0.074
all clear	0.500	-0.254	-0.100
all correct	0.600	-0.138	0.420
all downhill	-0.434	0.182	-0.344
all ears	-0.034	-0.170	-0.142
all eyes	0.258	0.062	0.108
all for	0.000	-0.016	0.162
all fours	-0.250	-0.124	-0.160
all gone	-0.156	0.036	-0.162
all important	0.552	0.150	0.490
all in	0.072	-0.036	0.074
all inclusive	0.516	0.030	0.176
all nations	0.370	0.014	0.166
all out	-0.188	0.154	-0.318
all over	-0.032	-0.080	0.214
all right	0.340	-0.196	0.112
all round	0.434	-0.108	0.214
all set	0.354	-0.054	0.166
all show	-0.194	-0.080	0.068
all that	0.134	-0.050	-0.134
all together	0.500	0.044	0.234
all told	0.000	-0.142	-0.166
all too	-0.206	-0.124	-0.138
all wet	-0.400	-0.016	-0.100
all y'all	0.130	-0.032	-0.194
all-star game	0.766	0.288	0.344
allergic reaction	-0.562	0.410	-0.518
alley oop	0.162	-0.086	-0.130
allow for	0.534	-0.090	0.178
allow in	0.388	-0.182	0.034
alma mater	-0.066	0.044	0.074
almond milk	0.388	-0.334	-0.162
aloe vera	0.392	-0.318	0.206
along with	0.034	-0.156	0.100
alpha male	-0.250	0.192	0.104
alphabetical order	0.162	-0.118	0.334
altar boy	-0.132	-0.588	-0.300
alter ego	0.034	0.076	-0.104
alternate universe	0.200	0.158	0.234
aluminum foil	-0.300	-0.136	0.034
amateur hour	-0.228	0.030	-0.142
amber alert	-0.634	0.312	0.086
ambient music	0.250	0.032	-0.034
american cheese	0.200	-0.180	0.400
american dream	0.742	0.054	0.166
american eagle	0.068	0.250	0.214
american english	0.188	-0.050	0.322
american express	0.366	0.032	0.370
american flag	0.380	-0.058	0.438
american football	0.290	0.246	0.466
american indian	0.096	0.106	0.154
american league	0.022	0.270	0.566
american revolution	0.286	0.436	0.464
american thanksgiving	0.600	0.138	0.448
american way	0.414	0.210	0.322
amount to	-0.200	-0.136	0.214
amped up	0.034	0.142	0.138
amusement park	0.656	0.158	0.388
anal sex	-0.534	0.318	-0.276
ancient egypt	0.276	0.150	-0.184
