term	dominance
high performance	1.000
gold medalist	1.000
win win	1.000
great power	1.000
huge success	1.000
great success	0.876
extreme trust	0.844
chief justice	0.800
good job	0.782
rich people	0.770
well educated	0.770
capital gains	0.766
win over	0.758
power generation	0.758
greatly positive	0.754
majority leader	0.750
have success	0.750
intelligence community	0.750
achieve success	0.750
data management	0.744
world record	0.742
strong man	0.742
business partner	0.742
golden opportunity	0.742
health department	0.740
press conference	0.740
political party	0.740
power source	0.730
take control	0.724
live performance	0.724
fire department	0.714
team leader	0.714
great trust	0.706
executive branch	0.704
honorable mention	0.700
foreign minister	0.700
business man	0.691
national anthem	0.690
presidential election	0.678
better believe	0.678
prize winner	0.678
basketball team	0.678
product placement	0.678
extremely positive	0.678
rocket science	0.678
smart move	0.678
most importantly	0.678
positive feedback	0.678
news organization	0.678
vice president	0.678
extra large	0.666
minority government	0.666
creative director	0.666
government official	0.666
work together	0.666
revolutionary war	0.660
operating system	0.658
top story	0.656
superior court	0.656
freedom fighter	0.656
executive order	0.656
gold medal	0.656
nuclear power	0.656
high court	0.656
make profit	0.656
good samaritan	0.656
power lines	0.656
famous person	0.656
associate professor	0.656
personal relationship	0.656
main source	0.654
logical thinking	0.654
social democracy	0.654
very positive	0.650
inner strength	0.648
higher learning	0.646
bright future	0.646
success story	0.646
campaign manager	0.642
best player	0.642
well respected	0.642
good people	0.642
great wall	0.640
police force	0.636
important person	0.634
professional life	0.634
happy dance	0.634
government agency	0.634
war hero	0.634
election campaign	0.634
intentional grounding	0.632
greater than	0.630
family values	0.630
golden goal	0.630
public interest	0.630
good work	0.630
hard work	0.624
political economy	0.624
pure joy	0.624
true love	0.624
security council	0.624
real life	0.622
taking control	0.620
health official	0.620
best way	0.620
national team	0.620
your highness	0.620
cabinet minister	0.616
news media	0.612
power structure	0.612
world cup	0.612
in power	0.608
self confidence	0.608
nation state	0.608
fighter jet	0.608
rock star	0.608
chief executive	0.608
good name	0.608
essential services	0.608
customer satisfaction	0.608
decision making	0.604
football team	0.600
republican party	0.600
national security	0.600
strong case	0.600
big business	0.600
school teacher	0.600
rocket scientist	0.600
science fiction	0.600
feeling good	0.600
top dollar	0.600
rich person	0.600
money supply	0.596
good word	0.594
police officer	0.592
smart people	0.592
true statement	0.592
founding member	0.592
top speed	0.592
professional help	0.592
coming together	0.592
confidence level	0.592
justice department	0.586
environmentally friendly	0.586
pure gold	0.586
high quality	0.586
augmented reality	0.586
luxury car	0.586
surprise surprise	0.586
scientific studies	0.586
property rights	0.586
premier league	0.586
scientific research	0.586
fundamental right	0.586
decision maker	0.584
best practice	0.584
body guard	0.580
government policies	0.580
standard procedure	0.580
legally binding	0.580
quality time	0.580
homeland security	0.580
armed forces	0.580
highly recommended	0.580
awesome sauce	0.580
get healthy	0.578
property owner	0.576
popularity contest	0.576
presidential campaign	0.576
metropolitan area	0.576
make contact	0.576
military service	0.572
increase in	0.572
great job	0.572
project manager	0.572
party politics	0.572
human resources	0.572
golden boy	0.572
grand prize	0.572
master class	0.572
good deal	0.572
media company	0.566
american league	0.566
life changing	0.566
value proposition	0.566
greenhouse gas	0.566
top player	0.566
international law	0.566
international community	0.566
hard worker	0.566
