term	valence
very positive	1.000
very well	1.000
great opportunity	1.000
achieve success	1.000
good idea	0.994
extremely positive	0.986
best wishes	0.976
give thanks	0.962
good health	0.962
great success	0.940
win win	0.936
happy dance	0.934
thanksgiving day	0.934
good will	0.934
greatly positive	0.934
have success	0.932
vacation spot	0.918
right thing	0.910
good time	0.904
make happy	0.900
team player	0.900
love life	0.900
happy ending	0.900
rising star	0.896
happy holidays	0.896
clean energy	0.896
in love	0.896
good job	0.892
smiley face	0.892
great trust	0.878
high performance	0.870
great job	0.870
great idea	0.870
true love	0.870
love ya	0.870
good work	0.866
totally awesome	0.866
good mood	0.866
new born	0.866
good money	0.866
good friend	0.862
happy birthday	0.862
love interest	0.860
huge success	0.854
gold medalist	0.852
good fun	0.852
good egg	0.852
physical fitness	0.846
engagement ring	0.844
life saver	0.844
somewhat positive	0.840
pretty good	0.838
first class	0.838
feeling good	0.838
highly recommend	0.838
good deal	0.838
surprise party	0.834
good thing	0.834
great guy	0.834
good people	0.834
positive feedback	0.830
love story	0.828
very good	0.828
thank god	0.828
best friend	0.828
family fun	0.828
well connected	0.822
good life	0.822
user friendly	0.822
good timing	0.820
give birth	0.816
comfort zone	0.814
perfect game	0.812
feel good	0.812
golden ticket	0.812
sweet dreams	0.808
wedding ring	0.806
holiday season	0.806
life partner	0.806
make friends	0.806
happy hour	0.806
success story	0.806
great surprise	0.804
best chance	0.800
good news	0.800
national holiday	0.800
happy with	0.800
good going	0.800
thankful for	0.800
long live	0.800
good weather	0.800
strong support	0.800
human being	0.800
self respecting	0.794
magic wand	0.794
prize money	0.794
moderate positive	0.792
national park	0.792
great aunt	0.792
good part	0.786
good graces	0.786
grand prize	0.786
morning star	0.784
coconut milk	0.780
sweetie pie	0.778
have confidence	0.778
chocolate chip	0.778
fine example	0.774
good faith	0.774
true statement	0.774
good manners	0.774
going strong	0.772
good day	0.770
great minds	0.766
all-star game	0.766
thank you	0.766
highly recommended	0.766
well done	0.766
easy going	0.766
mother's day	0.766
well meaning	0.764
impressed with	0.758
fairy godmother	0.758
fine job	0.758
brighten up	0.758
nice guy	0.758
interested in	0.758
gift certificate	0.758
best thing	0.758
well educated	0.758
good reason	0.758
nice things	0.758
energy level	0.758
cruise ship	0.756
first love	0.750
you're welcome	0.750
ice cream	0.750
family reunion	0.750
cutie pie	0.750
well well	0.744
important person	0.742
american dream	0.742
best interests	0.742
nice place	0.742
well informed	0.742
smart man	0.742
great thing	0.742
bright future	0.740
savings account	0.740
awesome sauce	0.740
make good	0.738
whole heartedly	0.734
great place	0.734
very nice	0.734
happy camper	0.734
well being	0.734
chocolate cake	0.734
wedding dress	0.734
economic growth	0.734
brotherly love	0.734
love apple	0.734
wedding cake	0.734
rock star	0.734
be together	0.734
birthday gift	0.734
mother nature	0.734
smart move	0.734
rising sun	0.734
dance music	0.724
do good	0.724
good book	0.724
top quality	0.724
family friend	0.724
wedding party	0.724
good morning	0.724
wedding reception	0.724
best efforts	0.724
good guy	0.720
creative writing	0.718
loved one	0.718
pure joy	0.718
golden opportunity	0.718
like magic	0.714
good show	0.714
great power	0.714
great grandpa	0.714
coming together	0.714
birthday present	0.714
common good	0.710
father's day	0.710
good evening	0.710
christmas present	0.710
happy easter	0.710
do well	0.710
paying attention	0.710
safe environment	0.710
win big	0.710
well respected	0.710
high point	0.710
good books	0.710
nice girl	0.710
love song	0.710
brand new	0.710
gold medal	0.708
performance art	0.704
problem solver	0.704
beauty queen	0.704
nice job	0.704
tree house	0.704
organic growth	0.704
animal lover	0.704
royal family	0.704
photo shoot	0.704
fresh start	0.700
feel free	0.700
fresh fruit	0.700
good story	0.700
golden girl	0.700
high quality	0.700
great deal	0.700
my pleasure	0.700
kind hearted	0.700
summer vacation	0.700
golden years	0.700
god willing	0.700
come together	0.700
special olympics	0.700
living legend	0.700
well documented	0.698
keep safe	0.694
rose petals	0.690
good hands	0.690
very much	0.690
believe me	0.690
nice person	0.690
role model	0.690
big day	0.690
travel abroad	0.690
mother earth	0.690
great story	0.690
kind regards	0.690
thank goodness	0.690
well defined	0.688
independence day	0.688
dream team	0.688
best practice	0.688
great care	0.688
team spirit	0.686
green light	0.680
full employment	0.678
rescue dog	0.678
quality time	0.678
good works	0.678
good word	0.678
high hopes	0.678
good person	0.678
luxury car	0.678
top player	0.678
glory in	0.678
wealth of	0.678
birthday card	0.678
continuing education	0.678
good name	0.678
grand finale	0.678
victory lap	0.676
number one	0.674
video conferencing	0.672
move in	0.672
water park	0.666
in relief	0.666
higher education	0.666
well rounded	0.666
saving grace	0.666
best buy	0.666
little girl	0.666
safe place	0.666
top notch	0.666
best way	0.666
coffee cake	0.666
smart people	0.666
extreme surprise	0.666
family values	0.666
costume party	0.666
decision making	0.666
golden goal	0.666
fly high	0.666
interest free	0.666
wage increase	0.666
make progress	0.666
first generation	0.666
good samaritan	0.666
water slide	0.666
well read	0.666
a good	0.666
cheer up	0.666
live together	0.666
straight forward	0.666
logical thinking	0.660
great grandfather	0.658
full strength	0.656
grow together	0.656
work ethic	0.656
academy awards	0.656
good example	0.656
take care	0.656
honest truth	0.656
baby girl	0.656
golden retriever	0.656
most likely	0.656
college degree	0.656
first rate	0.656
that's cool	0.656
amusement park	0.656
rocket scientist	0.656
bless you	0.656
customer satisfaction	0.656
quick response	0.656
community care	0.656
crown jewel	0.656
look after	0.654
true value	0.654
nice day	0.654
support system	0.654
good lord	0.654
some surprise	0.654
extreme trust	0.652
good looking	0.652
common courtesy	0.650
helping hand	0.650
best boy	0.646
learn about	0.646
true feelings	0.646
you welcome	0.646
world record	0.646
school friend	0.646
done good	0.646
better off	0.646
banana pudding	0.646
to perfection	0.646
dream up	0.646
swimming pool	0.646
good afternoon	0.646
fresh food	0.646
going places	0.646
