term	valence	arousal	dominance
a battery	0.134	-0.298	-0.096
a bit	-0.096	-0.264	-0.214
a bunch	0.088	-0.350	-0.068
a cappella	0.134	-0.116	-0.200
a couple	0.266	-0.110	0.090
a drive	0.134	0.136	0.060
a few	-0.138	-0.344	-0.160
a further	-0.214	-0.152	-0.122
a getaway	0.222	0.076	-0.032
a go	0.034	0.084	-0.034
a goner	-0.230	-0.148	-0.354
a good	0.666	-0.164	0.388
a handful	0.034	0.118	-0.100
a heel	0.000	-0.074	-0.130
a kickback	-0.600	0.064	-0.142
a little	0.072	-0.380	-0.358
a lot	0.100	-0.080	0.320
a mere	-0.310	-0.238	-0.066
a must	0.034	-0.276	0.134
a no-brainer	-0.270	0.044	-0.234
a one	0.172	-0.172	-0.032
a pair	0.200	-0.250	-0.188
a peach	0.370	-0.284	-0.138
a pleasure	0.452	-0.150	0.068
a plus	0.434	0.016	0.130
a priori	-0.138	-0.170	-0.038
a roll	0.138	-0.016	0.000
a sec	-0.310	-0.234	-0.366
a shame	-0.634	-0.088	-0.180
a single	-0.104	-0.126	-0.394
a smokescreen	-0.552	0.258	-0.404
a sport	0.380	0.302	0.142
a stretch	0.108	-0.034	0.228
a student	0.388	-0.188	0.064
a to-do	-0.104	0.050	-0.166
a ton	0.214	-0.090	0.108
a touch	0.172	-0.090	-0.036
a treat	0.536	-0.174	0.124
a while	0.034	-0.222	-0.060
aaaaaaah	-0.042	0.212	-0.418
aaaah	0.040	0.272	-0.436
aardvark	-0.146	-0.020	-0.126
aback	-0.230	-0.186	-0.424
abacus	0.020	-0.448	-0.030
abalone	0.000	-0.040	-0.176
abandon	-0.896	0.038	-0.599
abandoned	-0.908	-0.038	-0.740
abandoner	-0.667	0.667	-0.704
abandonment	-0.744	-0.140	-0.596
abase	-1.000	0.556	-0.958
abased	-1.000	-0.667	-0.917
abasement	-1.000	-0.333	-0.958
abash	-0.667	-0.667	-0.833
abashed	-0.646	0.288	-0.386
abashedly	-0.667	-0.619	-0.958
abashment	-0.815	-0.519	-0.778
abatable	0.500	-0.583	0.000
abate	-0.490	0.392	0.208
abatement	-0.224	-0.324	-0.328
abba	0.124	0.000	-0.040
abbey	0.160	-0.266	-0.112
abbot	-0.146	-0.358	-0.034
abbreviate	0.062	-0.250	-0.340
abbreviated	0.000	0.000	0.000
abbreviation	-0.062	-0.388	-0.310
abbreviator	0.000	0.556	0.370
abdicate	-0.667	-0.667	-0.889
abdication	-0.619	-0.630	-0.714
abdicator	-0.667	-0.619	-0.917
abdomen	-0.062	-0.076	-0.058
abdominal	-0.020	-0.088	-0.110
abdominally	0.000	-0.519	-0.292
abduct	-0.654	0.440	0.230
abducted	-0.905	0.667	-0.556
abductee	-0.714	0.619	-0.958
abduction	-0.876	0.917	-0.276
abductor	-1.000	0.714	0.833
aberrant	-0.708	0.530	-0.138
aberration	-0.750	0.632	-0.166
aberrational	-0.667	0.500	-0.375
abet	-0.333	0.667	0.741
abeyance	-0.340	0.020	-0.416
abhor	-0.750	0.204	-0.302
abhorrence	-0.666	0.368	-0.160
abhorrent	-0.542	0.500	-0.052
abhorrently	-1.000	-0.074	0.074
abhorring	-1.000	0.704	0.833
abide	0.270	-0.292	0.410
abide by	-0.134	-0.076	-0.434
abider	0.667	-0.667	0.037
abiding	0.592	-0.346	0.500
abilities	1.000	0.056	0.708
ability	0.750	0.020	0.563
abiotic	-0.042	-0.667	0.000
abject	-0.292	0.180	-0.166
abjection	-1.000	-0.667	-0.952
abjectly	-0.958	-0.458	-0.792
abjectness	-1.000	-0.762	-1.000
abjudicate	0.000	0.571	0.963
ablation	-0.164	0.000	0.000
ablaze	-0.594	0.847	0.050
able	0.572	0.000	0.620
able bodied	0.138	-0.092	0.036
abloom	0.917	-0.167	-0.083
ably	0.708	0.667	0.778
abnormal	-0.726	0.208	-0.382
abnormality	-0.816	0.310	-0.234
abnormally	-0.667	0.042	-0.296
abnormity	-0.667	-0.259	-0.444
aboard	0.396	-0.432	-0.038
abode	0.240	-0.396	0.000
abolish	-0.104	0.230	0.058
abolishable	-0.292	-0.667	0.000
abolisher	-0.667	0.667	0.917
abolishment	-0.267	-0.667	0.619
abolition	-0.354	0.380	0.058
abolitionary	0.667	0.444	0.458
abolitionism	0.778	0.667	0.778
abolitionist	0.958	0.667	0.917
abominable	-0.760	0.462	-0.036
abominableness	-1.000	-0.667	-0.593
abominably	-1.000	-0.583	-0.611
abominate	-0.604	0.576	-0.268
abomination	-0.844	0.510	0.036
abominator	-1.000	0.481	0.667
aboriginal	-0.104	-0.146	0.084
aboriginality	0.037	-0.571	0.143
aborigine	0.000	0.000	-0.444
abort	-0.694	0.372	-0.142
abortion	-0.836	0.540	-0.434
abortionist	-0.667	0.619	0.963
abortive	-0.820	0.552	-0.440
abortively	-0.667	0.667	-0.792
abound	0.408	-0.020	0.362
about	0.000	0.000	0.000
about face	-0.310	-0.134	0.034
about time	0.258	0.016	-0.062
about to	-0.130	-0.180	-0.242
above	0.314	-0.286	0.068
above all	0.334	-0.060	0.206
above average	-0.032	0.068	0.382
above water	0.380	-0.048	0.034
aboveboard	0.714	-0.533	0.571
aboveground	0.333	-0.095	0.259
abovementioned	0.082	-0.404	0.018
abracadabra	0.346	0.264	-0.132
abrasion	-0.188	0.184	-0.118
abrasive	-0.216	0.220	0.186
abrasively	-0.667	0.625	0.857
abrasiveness	-0.542	0.611	-0.500
abreast	0.270	-0.240	0.038
abridge	0.000	0.593	0.481
abridged	0.000	-0.583	-0.375
abridgement	-0.222	-0.625	0.000
abridgment	-0.278	-0.667	0.458
abroad	0.354	0.192	0.122
abrogate	-0.346	0.020	0.188
abrupt	-0.458	0.638	0.090
abruption	-0.667	0.667	-0.481
abruptly	-0.500	0.616	0.112
abruptness	-0.667	0.630	0.148
abscess	-0.692	-0.098	-0.302
abscond	-0.667	0.667	0.542
absconder	-0.667	0.667	-0.500
absence	-0.694	-0.530	-0.468
absent	-0.646	-0.558	-0.768
absentee	-0.530	-0.340	-0.442
absenteeism	-0.192	-0.454	-0.286
absently	-0.185	-0.667	-0.630
absentminded	-0.667	-0.583	-0.500
absentmindedly	0.000	-0.458	-0.625
absentmindedness	-0.667	-0.667	-0.625
absentness	-0.389	-0.905	-0.958
absinthe	-0.038	0.020	-0.076
absolute	0.052	0.020	0.820
absolutely	0.222	0.037	0.833
absolutely not	-0.448	-0.080	-0.300
absoluteness	0.619	-0.714	0.815
absolution	0.430	0.000	0.328
absolutism	-0.167	-0.444	1.000
absolutist	-0.074	0.000	1.000
absolvable	0.708	-0.333	-0.250
absolve	0.368	-0.102	0.320
absolvent	0.533	0.000	0.667
absolver	1.000	0.000	0.500
absorb	-0.062	0.116	0.340
absorbability	0.333	-0.792	-0.083
absorbable	0.444	-0.458	0.222
absorbance	0.000	-0.167	0.500
absorbed	-0.020	-0.058	0.038
absorbedly	0.238	-0.667	-0.125
absorbedness	0.000	-0.667	-0.542
absorbency	0.667	-0.333	0.000
absorbent	0.104	-0.212	0.436
absorber	0.000	-0.458	-0.167
absorbing	-0.020	-0.020	0.156
absorption	0.218	-0.156	-0.108
absorptive	0.250	0.667	-0.208
abstain	-0.230	-0.230	-0.146
abstainer	-0.286	-0.667	-0.037
abstention	-0.458	-0.472	0.018
abstentious	-0.238	-0.667	-0.375
abstinence	-0.480	-0.216	-0.142
abstinent	0.667	-0.952	0.370
abstinently	-0.333	-0.750	-0.458
abstract	-0.124	-0.416	-0.112
abstractedly	0.000	-0.524	-0.296
abstractedness	0.000	-0.963	-0.292
abstracter	0.000	0.667	0.259
abstraction	-0.062	-0.122	0.050
abstractionism	0.667	-0.542	0.292
abstractionist	0.333	-0.296	0.593
abstractive	0.000	-0.292	0.238
abstractly	0.000	-0.958	0.143
abstractness	0.000	-0.667	-0.048
abstractor	0.000	0.593	0.476
absurd	-0.624	0.312	-0.432
