term	arousal
lanced	1.000
overenthusiastic	1.000
downdraft	1.000
audaciously	1.000
vigorously	1.000
exult	1.000
gleesome	1.000
impel	1.000
ensnarl	1.000
pirouette	1.000
agitator	1.000
eruptive	1.000
exaltedly	1.000
whoopee	1.000
gulper	1.000
embowel	1.000
evisceration	1.000
overdriven	1.000
implode	1.000
unlash	1.000
epileptically	1.000
bulldogged	1.000
tigger	1.000
fisticuff	1.000
grabbed	1.000
nauseously	1.000
clamorous	1.000
exploded	1.000
showtime	1.000
bushfire	1.000
partygoer	1.000
convulsion	1.000
dancefloor	1.000
breakdance	1.000
furies	1.000
unsuppressed	1.000
cockfight	1.000
frazzle	1.000
startler	1.000
vivacity	1.000
counterblow	1.000
bludgeoner	1.000
liveliness	1.000
furiousness	1.000
combativeness	1.000
multitask	1.000
feverously	1.000
exuberant	1.000
battledress	1.000
exasperatedly	1.000
necrophilia	1.000
irately	1.000
newsbreak	1.000
jubilancy	1.000
jostle	1.000
hallucinating	1.000
cheerily	1.000
boggle	1.000
jubilance	1.000
yikes	1.000
pulverizer	1.000
homicidally	1.000
cytotoxic	1.000
urgently	1.000
tormentor	1.000
hellacious	1.000
excruciate	1.000
dogfight	1.000
overbeat	1.000
fervently	1.000
abusively	1.000
cobra	1.000
ardently	1.000
riled	1.000
warmonger	1.000
slammed	1.000
fellate	1.000
psychoactive	1.000
aflame	1.000
torturer	1.000
maniacally	1.000
triggerman	1.000
rapaciously	1.000
vivaciously	1.000
sparkplug	1.000
mutineer	1.000
dipshit	1.000
jabbing	1.000
hurriedly	1.000
hootenanny	1.000
gluttonize	1.000
depolarization	1.000
headspring	1.000
superluminal	1.000
disruptively	1.000
lethally	1.000
exclamatorily	1.000
windsurf	1.000
outsprint	1.000
insurrectional	1.000
enthusiastically	1.000
resurge	1.000
impulsiveness	1.000
hubbub	1.000
perkiness	1.000
bloodthirstiness	1.000
highjack	1.000
flurried	1.000
choleric	1.000
jolliness	1.000
slalom	1.000
fluster	1.000
incontrollable	1.000
enflame	1.000
rowdiness	1.000
militantly	1.000
mutinously	1.000
hooliganism	1.000
merrymaking	1.000
sprinter	1.000
playoffs	1.000
intimidator	1.000
maul	1.000
supersonic	1.000
counteroffensive	1.000
skirmisher	1.000
hypomania	1.000
apoplectically	1.000
upsurge	1.000
