term	valence	arousal	dominance
aaaaaaah	-0.042	0.212	-0.418
aaaah	0.040	0.272	-0.436
aardvark	-0.146	-0.020	-0.126
aback	-0.230	-0.186	-0.424
abacus	0.020	-0.448	-0.030
abalone	0.000	-0.040	-0.176
abandon	-0.896	0.038	-0.599
abandoned	-0.908	-0.038	-0.740
abandoner	-0.667	0.667	-0.704
abandonment	-0.744	-0.140	-0.596
abase	-1.000	0.556	-0.958
abased	-1.000	-0.667	-0.917
abasement	-1.000	-0.333	-0.958
abash	-0.667	-0.667	-0.833
abashed	-0.646	0.288	-0.386
abashedly	-0.667	-0.619	-0.958
abashment	-0.815	-0.519	-0.778
abatable	0.500	-0.583	0.000
abate	-0.490	0.392	0.208
abatement	-0.224	-0.324	-0.328
abba	0.124	0.000	-0.040
abbey	0.160	-0.266	-0.112
abbot	-0.146	-0.358	-0.034
abbreviate	0.062	-0.250	-0.340
abbreviated	0.000	0.000	0.000
abbreviation	-0.062	-0.388	-0.310
abbreviator	0.000	0.556	0.370
abdicate	-0.667	-0.667	-0.889
abdication	-0.619	-0.630	-0.714
abdicator	-0.667	-0.619	-0.917
abdomen	-0.062	-0.076	-0.058
abdominal	-0.020	-0.088	-0.110
abdominally	0.000	-0.519	-0.292
abduct	-0.654	0.440	0.230
abducted	-0.905	0.667	-0.556
abductee	-0.714	0.619	-0.958
abduction	-0.876	0.917	-0.276
abductor	-1.000	0.714	0.833
aberrant	-0.708	0.530	-0.138
aberration	-0.750	0.632	-0.166
aberrational	-0.667	0.500	-0.375
abet	-0.333	0.667	0.741
abeyance	-0.340	0.020	-0.416
abhor	-0.750	0.204	-0.302
abhorrence	-0.666	0.368	-0.160
abhorrent	-0.542	0.500	-0.052
abhorrently	-1.000	-0.074	0.074
abhorring	-1.000	0.704	0.833
abide	0.270	-0.292	0.410
abider	0.667	-0.667	0.037
abiding	0.592	-0.346	0.500
abilities	1.000	0.056	0.708
ability	0.750	0.020	0.563
abiotic	-0.042	-0.667	0.000
abject	-0.292	0.180	-0.166
abjection	-1.000	-0.667	-0.952
abjectly	-0.958	-0.458	-0.792
abjectness	-1.000	-0.762	-1.000
abjudicate	0.000	0.571	0.963
ablation	-0.164	0.000	0.000
ablaze	-0.594	0.847	0.050
able	0.572	0.000	0.620
abloom	0.917	-0.167	-0.083
ably	0.708	0.667	0.778
abnormal	-0.726	0.208	-0.382
abnormality	-0.816	0.310	-0.234
abnormally	-0.667	0.042	-0.296
abnormity	-0.667	-0.259	-0.444
aboard	0.396	-0.432	-0.038
abode	0.240	-0.396	0.000
abolish	-0.104	0.230	0.058
abolishable	-0.292	-0.667	0.000
abolisher	-0.667	0.667	0.917
abolishment	-0.267	-0.667	0.619
abolition	-0.354	0.380	0.058
abolitionary	0.667	0.444	0.458
abolitionism	0.778	0.667	0.778
abolitionist	0.958	0.667	0.917
abominable	-0.760	0.462	-0.036
abominableness	-1.000	-0.667	-0.593
abominably	-1.000	-0.583	-0.611
abominate	-0.604	0.576	-0.268
abomination	-0.844	0.510	0.036
abominator	-1.000	0.481	0.667
aboriginal	-0.104	-0.146	0.084
aboriginality	0.037	-0.571	0.143
aborigine	0.000	0.000	-0.444
abort	-0.694	0.372	-0.142
abortion	-0.836	0.540	-0.434
abortionist	-0.667	0.619	0.963
abortive	-0.820	0.552	-0.440
abortively	-0.667	0.667	-0.792
abound	0.408	-0.020	0.362
about	0.000	0.000	0.000
above	0.314	-0.286	0.068
aboveboard	0.714	-0.533	0.571
aboveground	0.333	-0.095	0.259
abovementioned	0.082	-0.404	0.018
abracadabra	0.346	0.264	-0.132
abrasion	-0.188	0.184	-0.118
abrasive	-0.216	0.220	0.186
abrasively	-0.667	0.625	0.857
abrasiveness	-0.542	0.611	-0.500
abreast	0.270	-0.240	0.038
abridge	0.000	0.593	0.481
abridged	0.000	-0.583	-0.375
abridgement	-0.222	-0.625	0.000
abridgment	-0.278	-0.667	0.458
abroad	0.354	0.192	0.122
abrogate	-0.346	0.020	0.188
abrupt	-0.458	0.638	0.090
abruption	-0.667	0.667	-0.481
abruptly	-0.500	0.616	0.112
abruptness	-0.667	0.630	0.148
abscess	-0.692	-0.098	-0.302
abscond	-0.667	0.667	0.542
absconder	-0.667	0.667	-0.500
absence	-0.694	-0.530	-0.468
absent	-0.646	-0.558	-0.768
absentee	-0.530	-0.340	-0.442
absenteeism	-0.192	-0.454	-0.286
absently	-0.185	-0.667	-0.630
absentminded	-0.667	-0.583	-0.500
absentmindedly	0.000	-0.458	-0.625
absentmindedness	-0.667	-0.667	-0.625
absentness	-0.389	-0.905	-0.958
absinthe	-0.038	0.020	-0.076
absolute	0.052	0.020	0.820
absolutely	0.222	0.037	0.833
absoluteness	0.619	-0.714	0.815
absolution	0.430	0.000	0.328
absolutism	-0.167	-0.444	1.000
absolutist	-0.074	0.000	1.000
absolvable	0.708	-0.333	-0.250
absolve	0.368	-0.102	0.320
absolvent	0.533	0.000	0.667
absolver	1.000	0.000	0.500
absorb	-0.062	0.116	0.340
absorbability	0.333	-0.792	-0.083
absorbable	0.444	-0.458	0.222
absorbance	0.000	-0.167	0.500
absorbed	-0.020	-0.058	0.038
absorbedly	0.238	-0.667	-0.125
absorbedness	0.000	-0.667	-0.542
absorbency	0.667	-0.333	0.000
absorbent	0.104	-0.212	0.436
absorber	0.000	-0.458	-0.167
absorbing	-0.020	-0.020	0.156
absorption	0.218	-0.156	-0.108
absorptive	0.250	0.667	-0.208
abstain	-0.230	-0.230	-0.146
abstainer	-0.286	-0.667	-0.037
abstention	-0.458	-0.472	0.018
abstentious	-0.238	-0.667	-0.375
abstinence	-0.480	-0.216	-0.142
abstinent	0.667	-0.952	0.370
abstinently	-0.333	-0.750	-0.458
abstract	-0.124	-0.416	-0.112
abstractedly	0.000	-0.524	-0.296
abstractedness	0.000	-0.963	-0.292
abstracter	0.000	0.667	0.259
abstraction	-0.062	-0.122	0.050
abstractionism	0.667	-0.542	0.292
abstractionist	0.333	-0.296	0.593
abstractive	0.000	-0.292	0.238
abstractly	0.000	-0.958	0.143
abstractness	0.000	-0.667	-0.048
abstractor	0.000	0.593	0.476
absurd	-0.624	0.312	-0.432
absurdist	-0.333	0.000	0.333
absurdity	-0.770	0.056	-0.546
absurdly	-0.667	0.167	-0.167
absurdness	-0.875	-0.542	-0.333
abundance	0.624	0.380	0.704
abundant	0.916	0.180	0.520
abundantly	1.000	0.000	0.286
abuse	-0.858	0.746	-0.062
abused	-0.958	0.748	-0.530
abuser	-0.758	0.410	-0.434
abusive	-0.750	0.806	0.134
abusively	-0.714	1.000	0.370
abusiveness	-1.000	0.762	0.917
abutment	0.000	-0.470	0.232
abutting	0.000	0.667	0.083
abuzz	0.619	1.000	0.583
aby	-0.230	-0.096	-0.264
abysmal	-0.500	0.420	0.196
abysmally	-1.000	-0.667	-0.958
abyss	-0.294	0.450	-0.408
abyssal	-0.533	-0.963	-0.083
academia	0.156	-0.032	0.276
academic	0.562	-0.160	0.624
academically	0.667	-0.667	0.407
academy	0.408	-0.054	0.584
acapulco	0.704	0.667	0.042
accede	0.396	0.020	0.074
accelerant	0.286	0.688	0.604
accelerate	0.230	0.804	0.518
accelerated	0.220	0.516	0.364
acceleration	0.408	0.810	0.686
accelerative	0.556	0.905	0.815
accelerator	0.186	0.660	0.624
acceleratory	0.444	1.000	0.708
accelerometer	0.000	0.667	0.667
accent	0.196	-0.286	0.018
accentual	0.095	0.222	0.296
accentuate	0.346	0.112	0.334
accentuation	0.667	0.667	0.583
accept	0.694	-0.428	0.130
acceptability	0.762	-0.667	0.407
acceptable	0.624	-0.428	0.166
acceptableness	0.667	-0.667	0.296
acceptably	0.542	-0.667	0.208
acceptance	0.666	-0.426	0.510
acceptances	0.694	-0.174	0.296
acceptant	0.667	-0.458	-0.481
accepter	0.667	0.000	0.000
acceptor	0.556	-0.519	0.037
access	0.428	-0.056	0.134
accessary	-0.238	-0.286	-0.208
accessibility	0.366	-0.086	0.026
accessible	0.592	-0.180	0.290
accessibly	0.889	-0.148	0.222
accession	0.224	-0.234	0.272
accessories	0.429	0.083	-0.208
accessorize	0.630	0.571	0.143
accessory	0.124	-0.416	-0.110
accident	-0.750	0.816	-0.328
accidental	-0.362	0.568	-0.386
accidentally	-0.334	0.482	-0.334
accidently	-0.333	0.333	-0.542
acclaim	0.124	0.618	0.436
acclaimer	0.810	0.667	0.611
acclamation	1.000	0.667	0.593
acclamatory	0.667	0.667	0.667
acclimate	0.333	0.630	0.250
acclimation	0.667	0.667	0.458
acclimatization	0.667	-0.593	0.125
acclimatize	0.625	0.667	0.476
accolade	0.376	0.182	0.550
accommodate	0.688	-0.250	0.132
accommodation	0.634	-0.170	0.174
accommodative	0.625	-0.619	-0.222
accommodator	0.667	-0.500	-0.167
accompanied	0.000	0.056	-0.208
accompanier	0.381	0.593	0.111
accompaniment	0.480	-0.042	0.390
accompanist	0.571	0.444	-0.333
accompany	0.666	-0.188	0.170
accompanying	0.574	-0.080	0.164
accomplice	-0.184	0.160	0.035
accomplish	0.858	0.346	0.632
accomplishable	0.667	0.095	0.875
accomplished	0.740	0.040	0.596
accomplisher	0.905	0.852	0.889
accomplishment	0.834	0.388	0.776
accord	0.796	-0.472	-0.236
accordable	0.556	0.000	0.048
accordance	0.318	-0.302	0.200
accordant	0.611	-0.630	0.238
accordion	0.208	-0.020	-0.278
accordionist	0.074	0.667	0.444
accost	-0.667	0.667	0.792
account	0.062	-0.306	-0.056
accountability	0.510	0.074	0.666
accountable	0.418	-0.436	0.554
accountably	0.708	0.000	0.810
accountancy	0.222	-0.630	0.481
accountant	0.250	-0.100	0.278
accounting	0.104	-0.220	0.354
accounts	0.184	-0.320	-0.058
accoutrement	0.111	-0.074	0.542
accredit	0.750	0.417	0.619
accreditation	0.708	-0.667	0.667
accredited	0.338	-0.042	0.515
accretion	-0.104	0.038	0.344
accrual	0.667	0.667	0.630
accrue	0.040	-0.038	0.204
accruement	0.667	-0.167	0.519
accueil	-0.100	-0.098	-0.060
accumulate	0.146	0.072	0.214
accumulation	-0.042	0.054	0.200
accumulative	0.292	-0.524	0.542
accumulatively	0.000	0.667	0.500
accumulativeness	0.611	0.630	0.542
accumulator	0.000	0.481	0.667
accuracy	0.208	-0.038	0.604
accurate	0.486	-0.280	0.474
accurately	0.667	0.167	0.556
accurateness	0.667	-0.875	0.800
accurse	-1.000	0.667	-0.167
accursed	-0.730	0.490	-0.310
accursedly	-1.000	0.148	-0.583
accursedness	-1.000	-0.524	-0.815
accusable	-0.667	0.222	-0.667
accusation	-0.854	0.436	0.128
accusative	-0.604	0.510	-0.036
accusatively	-0.619	0.667	0.238
accusatorial	-0.667	0.667	0.778
accusatorially	-0.667	0.630	0.583
accusatory	-0.667	0.667	0.926
accuse	-0.734	0.504	0.000
accused	-0.740	0.340	-0.160
accuser	-0.756	0.558	0.230
accusing	-0.688	0.490	-0.352
accustom	0.042	-0.467	0.148
accustomed	0.084	-0.270	-0.118
ace	0.286	-0.038	0.092
acerbate	-1.000	0.667	-0.375
acerbic	-0.667	0.000	0.250
acetaminophen	0.333	-0.333	0.000
acetate	0.000	-0.667	0.000
acetic	-0.334	-0.160	0.038
acetone	-0.238	0.000	0.167
acetyl	0.000	0.000	0.083
acetylene	-0.388	-0.062	0.009
ache	-0.708	0.520	-0.376
achievable	1.000	-0.185	0.556
achieve	0.632	0.090	0.686
achieved	0.792	0.038	0.550
achievement	0.792	0.616	0.518
achiever	0.905	0.667	1.000
achiness	-0.714	-0.259	-0.958
aching	-0.894	0.760	-0.304
achromatic	0.000	-0.556	0.000
achy	-0.666	0.680	-0.254
acid	-0.470	0.284	0.132
acidic	-0.667	0.000	0.074
acidification	-0.667	0.190	-0.571
acidifier	-0.333	0.417	0.333
acidify	-0.667	0.583	0.593
acidity	-0.688	0.326	-0.280
acidize	-0.667	0.667	0.407
acidly	-0.619	0.000	0.458
acknowledge	0.572	-0.260	0.322
acknowledgeable	0.708	0.000	0.458
acknowledged	0.428	-0.114	0.530
acknowledgement	0.638	0.078	0.660
acknowledger	0.500	0.611	0.111
acknowledgment	0.592	0.056	0.554
acme	-0.184	-0.130	-0.250
acne	-0.666	-0.052	-0.384
acolyte	0.333	-0.167	-0.375
acorn	-0.104	-0.604	-0.616
acoustic	0.084	-0.076	0.052
acoustical	0.000	-0.481	0.125
acoustically	0.000	0.000	0.074
acoustician	0.000	0.190	0.889
acoustics	0.222	-0.340	0.018
acquaint	0.292	-0.018	0.278
acquaintance	0.312	-0.420	0.340
acquaintanceship	0.333	-0.667	0.000
acquainted	0.812	-0.284	0.264
acquiesce	-0.095	-0.667	-0.667
acquiescence	0.084	-0.040	0.108
acquiescent	-0.333	-0.667	-0.889
acquiescently	-0.333	-0.667	-0.667
acquirable	0.571	0.333	0.370
acquire	0.666	-0.064	0.400
acquired	0.074	0.500	0.556
acquirement	0.714	-0.667	0.519
acquirer	0.042	0.619	0.741
acquiring	0.470	0.020	0.634
acquisition	0.396	0.018	0.472
acquisitions	0.546	0.320	0.580
acquisitive	-0.292	0.667	0.625
acquisitively	0.167	0.625	0.630
acquisitiveness	-0.619	0.667	0.708
acquit	0.166	0.142	0.222
acquittal	0.520	-0.006	0.400
acquitted	1.000	-0.556	0.542
acquitter	1.000	0.583	0.733
acre	0.166	-0.226	-0.154
acreage	0.482	-0.100	0.056
acres	0.020	-0.274	0.000
acrid	-0.667	0.667	0.500
acridity	-0.810	0.667	-0.148
acridly	-0.905	0.583	0.167
acridness	-0.667	0.667	-0.542
acrimonious	-1.000	0.714	0.583
acrimoniously	-0.875	0.708	-0.375
acrimoniousness	-1.000	0.917	-0.556
acrimony	-1.000	0.667	-0.292
acrobat	0.416	0.656	0.204
acrobatic	1.000	1.000	0.519
acrobatically	0.704	1.000	0.708
acronym	0.000	0.000	0.000
acronymic	0.000	-0.889	0.125
